time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
121,2048,46.13636363636363,1,-25.46648052272728,16,,,,,,,,,,,,
104,4096,46.13636363636363,2,-25.38602015909091,39,0.0003,-2.188120300322771,0.084375,13.951214255392552,0.01123164,2.9882912635803223,10,0.029989957809448242,0.2,-0.011832672316813841,,
,5000,,,,,0.0003,-2.1804738633334635,0.035986328125,14.622267299890519,0.010591662,1.7012295722961426,20,0.30561769008636475,0.2,-0.006727320297795813,-24.709444284439087,46.0
97,6144,46.15,3,-25.227482669999993,62,,,,,,,,,,,,
96,8192,46.12,4,-25.25128892,85,0.0003,-2.1773724243044854,0.08310546875,9.75710999816656,0.010111244,2.768730401992798,30,0.6826720237731934,0.2,-0.008506316028069704,,
,10000,,,,,0.0003,-2.1703648515045644,0.0736328125,3.6355851624161004,0.010421766,0.9480109810829163,40,0.8738479018211365,0.2,-0.007920833019306883,-21.7446296364069,46.0
93,10240,46.12,5,-24.601547569999994,109,,,,,,,,,,,,
92,12288,46.11,6,-24.38467637999999,132,0.0003,-2.1709926344454287,0.068701171875,3.578971141576767,0.00955913,2.2173354625701904,50,0.9073280096054077,0.2,-0.008605712896678597,,
92,14336,46.12,7,-24.819596739999998,155,0.0003,-2.1561072520911693,0.074951171875,3.5992560762912036,0.010792658,1.7767006158828735,60,0.8984712362289429,0.2,-0.008721698679437395,,
,15000,,,,,0.0003,-2.1344279415905474,0.07314453125,2.4021938599646093,0.0071609532,1.002704381942749,70,0.9299912452697754,0.2,-0.00903015117510222,-27.014735069870948,46.4
93,16384,46.17,8,-25.57835943,174,,,,,,,,,,,,
101,18432,46.21,9,-25.57634404000001,180,0.0003,-2.1354929871857165,0.102197265625,1.9037614542990924,0.0121896565,0.763260543346405,80,0.9390383362770081,0.2,-0.009046035594656133,,
,20000,,,,,0.0003,-2.127554950863123,0.11767578125,2.5719532769173385,0.013675137,1.8748778104782104,90,0.912360668182373,0.2,-0.01076491006242577,-23.20559244155884,46.2
109,20480,46.22,10,-24.42712134,187,,,,,,,,,,,,
116,22528,46.18,11,-24.884346360000006,192,0.0003,-2.132164767384529,0.088232421875,2.1975480284541846,0.008148672,0.888187050819397,100,0.9302917122840881,0.2,-0.009516280758543872,,
123,24576,46.18,12,-24.850055319999996,198,0.0003,-2.0971395671367645,0.04970703125,1.7901861732825637,0.0075921696,0.42063090205192566,110,0.93901127576828,0.2,-0.006055621421546675,,
,25000,,,,,0.0003,-2.064775414019823,0.081640625,1.6686805918812753,0.010152241,0.5490952134132385,120,0.949051022529602,0.2,-0.007606937436503358,-28.358703446388244,46.4
129,26624,46.22,13,-23.851022500000003,204,,,,,,,,,,,,
136,28672,46.19,14,-23.4892077,210,0.0003,-2.076103810966015,0.12529296875,0.8584545238874852,0.0122854635,0.3294472396373749,130,0.9548658132553101,0.2,-0.010975903365761042,,
,30000,,,,,0.0003,-2.0862128376960754,0.09951171875,1.0583250323310494,0.010168714,0.3871457576751709,140,0.948586106300354,0.2,-0.00892197237117216,-21.485370326042176,46.0
