time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
282,2048,46.09090909090909,1,-25.03388054545455,7,,,,,,,,,,,,
143,4096,46.11363636363637,2,-24.803819534090906,28,0.0003,-2.188691620528698,0.074365234375,14.595536811649799,0.011730483,2.004631996154785,10,-0.030663728713989258,0.2,-0.00808855110371951,,
,5000,,,,,0.0003,-2.1832405269145965,0.044091796875,16.698325838148595,0.008675566,2.101679563522339,20,0.3019121289253235,0.2,-0.007342809476540424,-23.216666531562804,46.0
122,6144,46.08,3,-24.358083430000008,50,,,,,,,,,,,,
113,8192,46.06,4,-23.820457460000004,72,0.0003,-2.176586712151766,0.010791015625,6.234977746754884,0.007896807,1.1899758577346802,30,0.7333821058273315,0.2,-0.0030551187810488045,,
,10000,,,,,0.0003,-2.151727170497179,0.081640625,3.0182157821953295,0.010650149,1.2057228088378906,40,0.9143791794776917,0.2,-0.00788589017756749,-24.384258925914764,46.0
119,10240,46.1,5,-23.74129475,85,,,,,,,,,,,,
133,12288,46.09,6,-25.010169899999998,92,0.0003,-2.1444612495601176,0.105322265625,3.0543601509183644,0.010152627,1.1602766513824463,50,0.9045507907867432,0.2,-0.011279212578665465,,
144,14336,46.08,7,-25.307123370000003,99,0.0003,-2.1236275732517242,0.114306640625,4.380006493628025,0.0127865225,1.32896089553833,60,0.8939253091812134,0.2,-0.009882416861364618,,
,15000,,,,,0.0003,-2.0894791319966317,0.095361328125,3.644270985946059,0.012223337,2.270799160003662,70,0.9183797240257263,0.2,-0.00896411794819869,-29.546110224723815,46.0
154,16384,46.07,8,-24.320948250000004,106,,,,,,,,,,,,
164,18432,46.07,9,-24.244985239999995,112,0.0003,-2.051933803409338,0.05107421875,2.6233189068734646,0.007957869,1.0403852462768555,80,0.9333253502845764,0.2,-0.0051969412743346766,,
,20000,,,,,0.0003,-2.069587856531143,0.073681640625,2.284223335236311,0.007937437,1.2171471118927002,90,0.9409870505332947,0.2,-0.005728504614671693,-27.725925838947298,46.0
171,20480,46.06,10,-24.6013926,119,,,,,,,,,,,,
178,22528,46.04,11,-25.346392640000005,125,0.0003,-2.1056322671473024,0.151318359375,2.4069335043430327,0.0127945775,0.9970144033432007,100,0.9278278350830078,0.2,-0.014626510397647507,,
186,24576,46.05,12,-25.4239723,131,0.0003,-2.0958767853677274,0.089501953125,2.374813832715154,0.01152807,1.012972116470337,110,0.9327213764190674,0.2,-0.011174160242080688,,
,25000,,,,,0.0003,-2.102422895282507,0.07939453125,2.4513702204450967,0.011988535,0.5137870907783508,120,0.9417099356651306,0.2,-0.00794536133762449,-26.481296306848527,46.2
192,26624,46.06,13,-25.33965188,138,,,,,,,,,,,,
198,28672,46.05,14,-24.49740186,144,0.0003,-2.0729595072567464,0.080859375,2.2015013048425316,0.008891111,1.1477656364440918,130,0.9554911851882935,0.2,-0.009751162157044746,,
,30000,,,,,0.0003,-2.0471237674355507,0.0943359375,1.476489619538188,0.008683908,0.48829537630081177,140,0.9490918517112732,0.2,-0.009520617304951884,-25.929999458789826,46.2
202,30720,46.07,15,-24.79333338,151,,,,,,,,,,,,
207,32768,46.06,16,-24.14944587,158,0.0003,-2.0337443448603154,0.12451171875,2.1276613740250467,0.009649697,0.6388037204742432,150,0.9408929944038391,0.2,-0.012338812203961425,,
211,34816,46.03,17,-24.5113625,164,0.0003,-2.0098315168172123,0.148046875,1.1894793721847237,0.0113071725,0.5317528247833252,160,0.9595938920974731,0.2,-0.013204730974393897,,
,35000,,,,,0.0003,-2.028387254104018,0.0552734375,1.7710260702297091,0.006875287,0.5823817253112793,170,0.9338276982307434,0.2,-0.00587062267732108,-19.857407414913176,46.2
215,36864,46.01,18,-25.01192595,170,,,,,,,,,,,,
220,38912,46.02,19,-25.879117150000003,176,0.0003,-2.0008847288787366,0.070458984375,1.7262560466304422,0.008926113,0.5806818008422852,180,0.9381390810012817,0.2,-0.008275769086321817,,
,40000,,,,,0.0003,-1.9835339527577163,0.0681640625,2.286526347696781,0.009113371,0.8755742311477661,190,0.9407086372375488,0.2,-0.010755401354981587,-29.073518252372743,46.0
223,40960,46.05,20,-25.657580109999998,183,,,,,,,,,,,,
227,43008,46.06,21,-26.085681980000004,189,0.0003,-1.9958535436540843,0.110791015625,1.3252089022658766,0.008952493,0.37919285893440247,200,0.9552934169769287,0.2,-0.011701713214279152,,
,45000,,,,,0.0003,-1.9740929692983626,0.07099609375,1.3461978305131197,0.009736801,0.32595503330230713,210,0.9591145515441895,0.2,-0.007304678510990925,-20.228703713417055,46.0
229,45056,46.05,22,-25.38747231,195,,,,,,,,,,,,
233,47104,46.04,23,-24.69209449,201,0.0003,-1.9531847428530456,0.13974609375,1.5027728563174605,0.009077671,0.5108025670051575,220,0.945819616317749,0.2,-0.011225162501796148,,
236,49152,46.05,24,-23.383492689999997,207,0.0003,-1.9125098932534457,0.102197265625,1.3447759626433253,0.00888378,0.31983327865600586,230,0.9470224380493164,0.2,-0.010364535721600987,,
,50000,,,,,0.0003,-1.903818478062749,0.094091796875,1.5406634667888284,0.00846364,0.5697141289710999,240,0.9537861943244934,0.2,-0.006524427112890407,-28.46851842403412,46.0
239,51200,46.05,25,-24.525177869999997,213,,,,,,,,,,,,
241,53248,46.06,26,-25.61985842,220,0.0003,-1.9296821780502795,0.10185546875,1.3915862588211894,0.011241807,0.470089852809906,250,0.9493448734283447,0.2,-0.008468114948482253,,
,55000,,,,,0.0003,-1.9042100034654141,0.13583984375,1.5218746000900865,0.013702733,0.5220245718955994,260,0.9474108219146729,0.2,-0.012457378327962943,-21.449999976158143,46.0
244,55296,46.08,27,-25.013291759999994,226,,,,,,,,,,,,
246,57344,46.05,28,-24.25900931,232,0.0003,-1.8875271189957856,0.10205078125,1.8578610062599181,0.010239737,0.774335503578186,270,0.9361002445220947,0.2,-0.0076397044758778065,,
248,59392,46.02,29,-24.433796380000004,238,0.0003,-1.8586261548101901,0.078173828125,1.5026759287342428,0.009099818,0.45754456520080566,280,0.9438351392745972,0.2,-0.008415611500095111,,
,60000,,,,,0.0003,-1.8133162084966898,0.075439453125,0.9677585998550058,0.007097776,0.34173640608787537,290,0.9615104794502258,0.2,-0.006265332576003857,-24.436110544204713,46.2
249,61440,46.01,30,-25.33108337,246,,,,,,,,,,,,
251,63488,46.05,31,-25.367672040000002,252,0.0003,-1.8431001041084527,0.094580078125,1.40909685138613,0.011428523,0.5535284280776978,300,0.9462612271308899,0.2,-0.0076455849834019315,,
,65000,,,,,0.0003,-1.8060160398483276,0.06123046875,1.69825390111655,0.006819739,0.3342141807079315,310,0.9361624717712402,0.2,-0.005653676579822786,-23.50462951660156,46.0
252,65536,46.04,32,-24.88641278,259,,,,,,,,,,,,
254,67584,46.02,33,-24.386227570000003,265,0.0003,-1.8675017219036818,0.1416015625,1.0393386802636086,0.0132631045,0.25653666257858276,320,0.9469314813613892,0.2,-0.012858604444772936,,
255,69632,46.01,34,-23.78069848,272,0.0003,-1.861778835207224,0.114208984375,1.0360465901903808,0.011211207,0.19179454445838928,330,0.9501046538352966,0.2,-0.008729962940560654,,
,70000,,,,,0.0003,-1.8451304316520691,0.08916015625,1.012982771638781,0.012534449,0.2822909653186798,340,0.9650588631629944,0.2,-0.00727671762870159,-23.21222208738327,46.0
256,71680,46.0,35,-23.81055955999999,279,,,,,,,,,,,,
258,73728,46.0,36,-24.28901854,285,0.0003,-1.849146791920066,0.0599609375,0.9308885668404401,0.011028759,0.21609368920326233,350,0.9615720510482788,0.2,-0.006018809281522408,,
,75000,,,,,0.0003,-1.852698764950037,0.127685546875,0.5661945916246622,0.011132104,0.27092695236206055,360,0.9757472276687622,0.2,-0.00960128799197264,-23.080740720033646,46.0
258,75776,46.0,37,-24.828083420000002,292,,,,,,,,,,,,
260,77824,46.02,38,-25.179946379999997,299,0.0003,-1.852274339646101,0.09130859375,1.5408078825101257,0.010003123,0.48133906722068787,370,0.9556941986083984,0.2,-0.010804834557347931,,
261,79872,46.03,39,-25.106390809999997,305,0.0003,-1.8655602108687162,0.0873046875,1.0405423045158386,0.008808135,0.3505150377750397,380,0.9656040072441101,0.2,-0.0063901572284521535,,
,80000,,,,,0.0003,-1.857379514351487,0.070849609375,1.110523897781968,0.008774231,0.17596924304962158,390,0.95199054479599,0.2,-0.006602491106605157,-22.000000017881394,46.0
261,81920,46.02,40,-24.68962229,312,,,,,,,,,,,,
252,83968,46.03,41,-24.62870566,332,0.0003,-1.8331953447312117,0.09580078125,1.4172366634011269,0.011274429,0.7108364701271057,400,0.9595409035682678,0.2,-0.007003652426647022,,
,85000,,,,,0.0003,-1.8461892202496528,0.099755859375,0.9480190912261606,0.01067555,0.19474169611930847,410,0.966964066028595,0.2,-0.010374348147888669,-22.562036800384522,46.0
241,86016,46.02,42,-25.05731492,356,,,,,,,,,,,,
232,88064,46.04,43,-25.329208809999997,379,0.0003,-1.7922113731503486,0.110791015625,0.8583186093252152,0.010665849,0.09432300180196762,420,0.9580698013305664,0.2,-0.011809384815569502,,
,90000,,,,,0.0003,-1.8492617651820182,0.067578125,1.592527535185218,0.009235626,0.28456801176071167,430,0.9433560967445374,0.2,-0.0071651742706308145,-23.014074075222016,46.0
223,90112,46.03,44,-24.671986599999997,403,,,,,,,,,,,,
216,92160,46.03,45,-24.624418589999994,425,0.0003,-1.8069271769374609,0.1095703125,0.9711764468811452,0.0103776315,0.303790807723999,440,0.9644948244094849,0.2,-0.008231916057411581,,
210,94208,46.01,46,-23.962935229999992,446,0.0003,-1.7788911379873753,0.094677734375,0.6309191239532084,0.0077292453,0.17096301913261414,450,0.9726247787475586,0.2,-0.010224491299595684,,
,95000,,,,,0.0003,-1.874700039997697,0.0927734375,1.0648367459885777,0.00839185,0.27229201793670654,460,0.9541589617729187,0.2,-0.007963655658386415,-20.759444016218186,46.0
204,96256,46.01,47,-24.556075959999998,469,,,,,,,,,,,,
200,98304,46.04,48,-25.222655600000003,491,0.0003,-1.9203442722558974,0.123486328125,1.3969953509047628,0.013131087,0.5493375062942505,470,0.9435281753540039,0.2,-0.012027529327315278,,
,100000,,,,,0.0003,-1.8882554471492767,0.090869140625,1.5839032800868154,0.00805818,0.17169305682182312,480,0.9208608865737915,0.2,-0.010627636173740029,-20.821481144428255,46.0
194,100352,46.04,49,-25.012659569999997,515,,,,,,,,,,,,
