time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,eval/mean_ep_length,eval/mean_reward
126,193,46.04,-24.994777389999996,12,24576,0.110595703125,-0.015292701963335275,0.2,1.5560874864459038,-2.154048361629248,110,0.5611791014671326,0.010360778,0.947323203086853,0.0003,,
137,193,46.11,-25.81552289,13,26624,0.1146484375,-0.015052496804855764,0.2,1.9090037511661648,-2.151656322181225,120,0.7005018591880798,0.011693452,0.9313404560089111,0.0003,,
146,195,46.15,-26.017147280000003,14,28672,0.07724609375,-0.010303648270200938,0.2,1.783314422890544,-2.152806066721678,130,0.8997411131858826,0.009139975,0.9420064687728882,0.0003,,
,,,,,30000,0.08857421875,-0.011340665130410344,0.2,2.3633257281035185,-2.144377638399601,140,0.9938046932220459,0.010776412,0.9378692507743835,0.0003,46.0,-26.195370042324065
157,195,46.12,-24.938398820000003,15,30720,,,,,,,,,,,,
178,183,46.1,-24.888209779999997,16,32768,0.09091796875,-0.009437066325335763,0.2,1.605969756282866,-2.1383575454354284,150,0.23387688398361206,0.009302123,0.9383386969566345,0.0003,,
218,159,46.11,-25.010094859999995,17,34816,0.139208984375,-0.015038714112597518,0.2,1.6458355322480203,-2.1214429035782816,160,0.5447551012039185,0.0112974085,0.9443631768226624,0.0003,,
257,143,46.14,-25.1747942,18,36864,0.115869140625,-0.011287225715932436,0.2,1.7076314641162753,-2.114848816394806,170,0.7144953012466431,0.010271521,0.9482642412185669,0.0003,,
295,131,46.08,-24.258421260000006,19,38912,0.147802734375,-0.014985503439675085,0.2,1.6853167087771,-2.1181179605424405,180,0.37504929304122925,0.0109066265,0.9319750070571899,0.0003,,
,,,,,40000,0.10126953125,-0.010725929963518866,0.2,1.412224283069372,-2.112413092702627,190,0.34006136655807495,0.011435564,0.9412651062011719,0.0003,46.0,-21.864814603328703
326,125,46.13,-24.686321290000002,20,40960,,,,,,,,,,,,
364,117,46.15,-25.578154689999998,21,43008,0.0810546875,-0.008596817731449847,0.2,2.604977800697088,-2.114486540853977,200,0.8273975253105164,0.010126296,0.9028832912445068,0.0003,,
396,113,46.09,-25.33083378,22,45056,0.15302734375,-0.01679150695272256,0.2,1.9257027231156827,-2.112839734554291,210,0.8190720081329346,0.011879254,0.9366323947906494,0.0003,,
433,108,46.14,-25.09713013,23,47104,0.16875,-0.015534575941273943,0.2,1.0121984465047718,-2.110053411126137,220,0.3170565068721771,0.012642672,0.9604524970054626,0.0003,,
471,104,46.16,-24.707608069999996,24,49152,0.1185546875,-0.014134075210313313,0.2,1.1333235724829138,-2.0936263747513295,230,0.3887709975242615,0.01105481,0.9555606245994568,0.0003,,
,,,,,50000,0.134033203125,-0.016430158598814158,0.2,1.0616221935488284,-2.0718951515853403,240,0.3437707722187042,0.011132713,0.9511623382568359,0.0003,46.2,-27.074907183647156
511,100,46.1,-24.477798460000002,25,51200,,,,,,,,,,,,
553,96,46.08,-24.85947612,26,53248,0.135498046875,-0.012426783022237941,0.2,1.4250129340216517,-2.0388429924845695,250,0.6760598421096802,0.010578922,0.9469870924949646,0.0003,,
593,93,46.11,-25.273638500000008,27,55296,0.0853515625,-0.009244091785512864,0.2,1.1254408796317876,-2.047875003516674,260,0.3358994722366333,0.008411195,0.9514331221580505,0.0003,,
634,90,46.1,-25.821369849999996,28,57344,0.065234375,-0.008801229312666692,0.2,1.5310794761404396,-2.0455791778862475,270,0.7509978413581848,0.009897692,0.9545182585716248,0.0003,,
1131,52,46.08,-25.059670389999994,29,59392,0.080322265625,-0.011689042841317132,0.2,1.4730117550119757,-2.0319665618240834,280,0.33336061239242554,0.008139705,0.9307025671005249,0.0003,,
,,,,,60000,0.10244140625,-0.011706340496311895,0.2,1.5840490458533167,-2.0730959728360174,290,0.46822333335876465,0.009082955,0.937714159488678,0.0003,46.2,-26.00411099269986
1141,53,46.08,-25.063366809999998,30,61440,,,,,,,,,,,,
1149,55,46.1,-25.05388794999999,31,63488,0.127001953125,-0.014193166306358761,0.2,1.1370877432636917,-2.0897870056331156,300,0.3121265769004822,0.01055458,0.9467673897743225,0.0003,,
1158,56,46.09,-25.262734490000003,32,65536,0.11455078125,-0.0111619443341624,0.2,0.8904579546302557,-2.0770461283624173,310,0.2508802115917206,0.0108363945,0.9583390951156616,0.0003,,
1166,57,46.1,-24.615399529999994,33,67584,0.07744140625,-0.010306571892579086,0.2,1.3512123199179769,-2.0943270988762377,320,0.3947528600692749,0.011268122,0.9320241808891296,0.0003,,
1175,59,46.09,-24.46220787999999,34,69632,0.094873046875,-0.011133707175031305,0.2,1.2887365804985165,-2.081938198953867,330,0.4740784764289856,0.010123575,0.9597290754318237,0.0003,,
,,,,,70000,0.12080078125,-0.012472940477891825,0.2,1.013543436024338,-2.062237523496151,340,0.190343976020813,0.009702645,0.9596343636512756,0.0003,46.0,-23.121296325325964
1184,60,46.09,-25.060202249999996,35,71680,,,,,,,,,,,,
1193,61,46.1,-25.6774928,36,73728,0.133984375,-0.013360181292227935,0.2,1.4494863821193575,-2.0752207413315773,350,0.412769079208374,0.013394833,0.9341333508491516,0.0003,,
1202,63,46.07,-25.84511211,37,75776,0.148828125,-0.018288833842962048,0.2,1.663224765844643,-2.0408872105181217,360,0.5203372836112976,0.012744197,0.9479535818099976,0.0003,,
