time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
294,2048,46.11363636363637,1,-42.24517490909091,6,,,,,,,,,,,,
258,4096,46.11363636363637,2,-42.37762203409091,15,0.0003,-2.186649041622877,0.133544921875,23.931100703030825,0.011479193,3.6328158378601074,10,0.015359103679656982,0.2,-0.015138379833661019,,
,5000,,,,,0.0003,-2.18319177031517,0.02353515625,21.066269313544034,0.008509949,2.0814430713653564,20,-0.011320352554321289,0.2,-0.005271980800898746,-43.26940716505051,46.6
235,6144,46.12,3,-43.488642070000004,26,,,,,,,,,,,,
222,8192,46.12,4,-44.03985963000001,36,0.0003,-2.172369782626629,0.057470703125,13.229122149944306,0.012469058,3.07475209236145,30,-0.0008858442306518555,0.2,-0.007475488052295987,,
,10000,,,,,0.0003,-2.157465595752001,0.07392578125,7.930424787849188,0.0114653595,1.909162163734436,40,0.33262985944747925,0.2,-0.007810132975282613,-48.80458568334579,46.0
214,10240,46.17,5,-44.292513549999995,47,,,,,,,,,,,,
212,12288,46.17,6,-44.56186958,57,0.0003,-2.1543958194553854,0.080029296875,3.4476339880377056,0.010845531,1.070887804031372,50,0.7461851835250854,0.2,-0.009474601669353433,,
210,14336,46.15,7,-44.147316149999995,67,0.0003,-2.144190128147602,0.069091796875,2.711828127503395,0.009035271,0.9396997094154358,60,0.8558114171028137,0.2,-0.011233790748519823,,
,15000,,,,,0.0003,-2.1588589631021025,0.09150390625,2.8201862797141075,0.0100120185,1.200616717338562,70,0.8597370386123657,0.2,-0.01072869102936238,-42.66458652019501,46.0
206,16384,46.15,8,-43.927474369999985,79,,,,,,,,,,,,
205,18432,46.18,9,-42.99628869,89,0.0003,-2.153289530426264,0.0705078125,1.6300785828381776,0.009332418,0.4882563650608063,80,0.8930520415306091,0.2,-0.010578412414179183,,
,20000,,,,,0.0003,-2.14381235986948,0.08642578125,1.4883784031495453,0.010131599,0.590553879737854,90,0.8888082504272461,0.2,-0.011534902817220426,-43.91572803258896,46.6
203,20480,46.16,10,-43.800756789999994,100,,,,,,,,,,,,
203,22528,46.13,11,-44.56602124999999,110,0.0003,-2.1569201603531836,0.09375,1.7064540684223175,0.011183988,0.4904252886772156,100,0.8557040691375732,0.2,-0.009340704794158227,,
200,24576,46.15,12,-45.11017219,122,0.0003,-2.1660232432186604,0.14482421875,1.4085287999361753,0.011939038,0.48136410117149353,110,0.8882585167884827,0.2,-0.016856880323030055,,
,25000,,,,,0.0003,-2.159380650520325,0.093603515625,1.4316565470770002,0.01023474,0.30079686641693115,120,0.894079327583313,0.2,-0.010774339010822587,-45.45574104785919,46.0
145,26624,46.13,13,-44.695731130000006,183,,,,,,,,,,,,
116,28672,46.09,14,-43.758574180000004,245,0.0003,-2.152525546401739,0.076318359375,0.9434221635572613,0.008485204,0.3036068081855774,130,0.9049363732337952,0.2,-0.010333834777702578,,
