Arrival_Rate,Policy,Metric,Mean,Std,Min,Max
10,FCFS,avg_delay,19.376174048174153,1.9687318491463905,16.634188034188096,21.665656565656707
10,FCFS,landings,11.2,1.5999999999999999,9.0,13.0
10,FCFS,pad_utilization,0.025,0.05000000000000001,0.0,0.125
10,FCFS,throughput,13.439999999999884,1.9199999999999835,10.799999999999905,15.599999999999863
10,FCFS,total_reward,0.0,0.0,0.0,0.0
10,FCFS,violations,0.0,0.0,0.0,0.0
10,Greedy,avg_delay,17.17766666666675,2.1913246571620686,14.086111111111208,19.957777777777885
10,Greedy,landings,10.4,4.17612260356422,4.0,15.0
10,Greedy,pad_utilization,0.025,0.05,0.0,0.125
10,Greedy,throughput,12.479999999999889,5.01134712427702,4.799999999999957,17.99999999999984
10,Greedy,total_reward,0.0,0.0,0.0,0.0
10,Greedy,violations,0.0,0.0,0.0,0.0
20,FCFS,avg_delay,22.836584054834184,1.8140999243139226,19.881111111111203,24.720202020202176
20,FCFS,landings,18.8,2.7856776554368237,15.0,22.0
20,FCFS,pad_utilization,0.1,0.14577379737113252,0.0,0.375
20,FCFS,throughput,22.5599999999998,3.34281318652416,17.99999999999984,26.399999999999768
20,FCFS,total_reward,0.0,0.0,0.0,0.0
20,FCFS,violations,0.0,0.0,0.0,0.0
20,Greedy,avg_delay,23.630854627656618,2.1147922809481305,20.26825396825407,25.947953216374422
20,Greedy,landings,18.4,2.727636339397171,14.0,22.0
20,Greedy,pad_utilization,0.175,0.12747548783981963,0.0,0.375
20,Greedy,throughput,22.079999999999806,3.2731636072765764,16.79999999999985,26.399999999999768
20,Greedy,total_reward,0.0,0.0,0.0,0.0
20,Greedy,violations,0.0,0.0,0.0,0.0
30,FCFS,avg_delay,24.06803675899278,2.789640336742608,21.292929292929397,29.079861111111306
30,FCFS,landings,27.2,4.995998398718719,22.0,34.0
30,FCFS,pad_utilization,0.225,0.12247448713915891,0.125,0.375
30,FCFS,throughput,32.639999999999716,5.995198078462408,26.399999999999768,40.79999999999964
30,FCFS,total_reward,0.0,0.0,0.0,0.0
30,FCFS,violations,0.0,0.0,0.0,0.0
30,Greedy,avg_delay,22.0614025747674,2.1252144690472656,18.897474747474835,24.963111111111267
30,Greedy,landings,27.6,4.127953488110059,22.0,34.0
30,Greedy,pad_utilization,0.2,0.06123724356957945,0.125,0.25
30,Greedy,throughput,33.119999999999706,4.953544185732027,26.399999999999768,40.79999999999964
30,Greedy,total_reward,0.0,0.0,0.0,0.0
30,Greedy,violations,0.0,0.0,0.0,0.0
40,FCFS,avg_delay,23.62746838129204,0.7423331921464413,22.422875816993585,24.505050505050647
40,FCFS,landings,36.2,5.946427498927402,28.0,44.0
40,FCFS,pad_utilization,0.275,0.2,0.0,0.5
40,FCFS,throughput,43.439999999999614,7.13571299871282,33.5999999999997,52.799999999999535
40,FCFS,total_reward,0.0,0.0,0.0,0.0
40,FCFS,violations,0.0,0.0,0.0,0.0
40,Greedy,avg_delay,22.80827458361486,2.7680139493824116,19.556825396825477,26.346405228758332
40,Greedy,landings,33.4,6.086049621881176,23.0,42.0
40,Greedy,pad_utilization,0.25,0.11180339887498948,0.125,0.375
40,Greedy,throughput,40.07999999999965,7.303259546257347,27.599999999999756,50.39999999999956
40,Greedy,total_reward,0.0,0.0,0.0,0.0
40,Greedy,violations,0.0,0.0,0.0,0.0
